ticker,fiscal_year,fiscal_period,report_date,revenue,gross_profit,operating_income,pretax_income,net_income,net_income_common,currency
KVHI,2022,FY,2022-12-31,138750000,52498000,-5725000,-3449000,24030000,24030000,USD
KVHI,2023,FY,2023-12-31,132379000,37868000,-11355000,-15104000,-15422000,-15422000,USD
KVSA,2021,FY,2021-12-31,,,-1579496,-5686410,-5686410,-5686410,USD
KVSA,2022,FY,2022-12-31,,,-2250380,2956588,1873625,1873625,USD
KVSC,2021,FY,2021-12-31,,,-1283381,-7492985,-7492985,-7492985,USD
KVSC,2022,FY,2022-12-31,,,-1802250,12704565,11009423,11009423,USD
KVUE,2022,FY,2022-12-31,14950000000,8285000000,2687000000,2637000000,2064000000,2064000000,USD
KVUE,2023,FY,2023-12-31,15444000000,8643000000,2512000000,2190000000,1664000000,1664000000,USD
KW,2020,FY,2020-12-31,454000000,304500000,-54100000,151400000,110100000,92900000,USD
KW,2021,FY,2021-12-31,453600000,,293000000,462600000,330400000,313200000,USD
KW,2022,FY,2022-12-31,540000000,,13200000,138100000,93700000,64800000,USD
KW,2023,FY,2023-12-31,562600000,,54300000,-336700000,-303800000,-341800000,USD
KWIK,2021,FY,2021-12-31,175640,,-2370051,-2370051,-2370051,-2370051,USD
KWIK,2022,FY,2022-12-31,606835,459695,-3926542,-3946791,-3946791,-3946791,USD
KWIK,2023,FY,2023-12-31,288229,71239,-3906178,-3903079,-3903079,-3903079,USD
KWR,2020,FY,2020-12-31,1417677000,513443000,132691000,27139000,39658000,39658000,USD
KWR,2021,FY,2021-12-31,1761158000,594640000,175784000,146991000,121369000,121369000,USD
KWR,2022,FY,2022-12-31,1943585000,612654000,148467000,9083000,-15931000,-15931000,USD
KWR,2023,FY,2023-12-31,1953313000,705644000,222083000,168457000,112748000,112748000,USD
KYMR,2020,FY,2020-12-31,34034000,,-46304000,-45727000,-45727000,-45727000,USD
KYMR,2021,FY,2021-12-31,72832000,,-100530000,-100217000,-100217000,-100217000,USD
KYMR,2022,FY,2022-12-31,46826000,,-161256000,-154808000,-154808000,-154808000,USD
KYMR,2023,FY,2023-12-31,78592000,,-165530000,-146962000,-146962000,-146962000,USD
KZR,2020,FY,2020-12-31,,,-42950000,-41742000,-41742000,-41742000,USD
KZR,2021,FY,2021-12-31,,,-54659000,-54630000,-54630000,-54630000,USD
KZR,2022,FY,2022-12-31,,,-71162000,-68239000,-68239000,-68239000,USD
KZR,2023,FY,2023-12-31,7000000,,-105237000,-101870000,-101870000,-101870000,USD
LAC,2020,FY,2020-12-31,,,-25439000,-34002000,-36234000,-36234000,USD
LAC,2021,FY,2021-12-31,,,-46689000,-38610000,-38488000,-38488000,USD
