Ticker,Date,Revenue,GrossProfit,EBITDA,OperatingIncome,NetIncome,EPS,TotalDebt,Cash,FCF,DebtToEquity,DebtToFCF,PE,PEG,PB,PS,PromoterHolding,InstitutionalHolding,PriceTargetHigh,PriceTargetLow,PriceTargetAvg,EPSEstimate,Buybacks,Dividends,Splits
RELIANCE.NS,2025-03-31,,2420060000000.0,1812740000000.0,1124620000000.0,696480000000.0,,,,,,,,,,,,,,,,,,,
RELIANCE.NS,2024-03-31,,2264650000000.0,1769440000000.0,1116660000000.0,696210000000.0,,,,,,,,,,,,,,,,,,,
RELIANCE.NS,2023-03-31,,2059370000000.0,1533070000000.0,1020150000000.0,667020000000.0,,,,,,,,,,,,,,,,,,,
RELIANCE.NS,2022-03-31,,1642850000000.0,1263740000000.0,787630000000.0,607050000000.0,,,,,,,,,,,,,,,,,,,
RELIANCE.NS,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,
