Ticker,Date,Revenue,GrossProfit,EBITDA,OperatingIncome,NetIncome,EPS,TotalDebt,Cash,FCF,DebtToEquity,DebtToFCF,PE,PEG,PB,PS,PromoterHolding,InstitutionalHolding,PriceTargetHigh,PriceTargetLow,PriceTargetAvg,EPSEstimate,Buybacks,Dividends,Splits
HDFCBANK.NS,2025-03-31,,,,,673508300000.0,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,2024-03-31,,,,,622656600000.0,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,2023-03-31,,,,,495446900000.0,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,2022-03-31,,,,,386000400000.0,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,
