Ticker,Date,Revenue,GrossProfit,EBITDA,OperatingIncome,NetIncome,EPS,TotalDebt,Cash,FCF,DebtToEquity,DebtToFCF,PE,PEG,PB,PS,PromoterHolding,InstitutionalHolding,PriceTargetHigh,PriceTargetLow,PriceTargetAvg,EPSEstimate,Buybacks,Dividends,Splits
TCS.NS,2025-03-31,,1096410000000.0,713690000000.0,622930000000.0,485530000000.0,,,,,,,,,,,,,,,,,,,
TCS.NS,2024-03-31,,1080220000000.0,677600000000.0,594250000000.0,459080000000.0,,,,,,,,,,,,,,,,,,,
TCS.NS,2023-03-31,,1056990000000.0,627080000000.0,543770000000.0,421470000000.0,,,,,,,,,,,,,,,,,,,
TCS.NS,2022-03-31,,914870000000.0,570750000000.0,485880000000.0,383270000000.0,,,,,,,,,,,,,,,,,,,
