Ticker,Date,Revenue,GrossProfit,EBITDA,OperatingIncome,NetIncome,EPS,TotalDebt,Cash,FCF,DebtToEquity,DebtToFCF,PE,PEG,PB,PS,PromoterHolding,InstitutionalHolding,PriceTargetHigh,PriceTargetLow,PriceTargetAvg,EPSEstimate,Buybacks,Dividends,Splits
ICICIBANK.NS,2025-03-31,,,,,510291955000.0,,,,,,,,,,,,,,,,,,,
ICICIBANK.NS,2024-03-31,,,,,442563735000.0,,,,,,,,,,,,,,,,,,,
ICICIBANK.NS,2023-03-31,,,,,340366408000.0,,,,,,,,,,,,,,,,,,,
ICICIBANK.NS,2022-03-31,,,,,251100960000.0,,,,,,,,,,,,,,,,,,,
ICICIBANK.NS,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,
