Ticker,Date,Revenue,GrossProfit,EBITDA,OperatingIncome,NetIncome,EPS,TotalDebt,Cash,FCF,DebtToEquity,DebtToFCF,PE,PEG,PB,PS,PromoterHolding,InstitutionalHolding,PriceTargetHigh,PriceTargetLow,PriceTargetAvg,EPSEstimate,Buybacks,Dividends,Splits
RELIANCE.NS,2025-06-30,,771400000000.0,441820000000.0,290630000000.0,269940000000.0,,,,,,,,,,,,,,,,,,,
RELIANCE.NS,2025-03-31,,376770000000.0,331100000000.0,305070000000.0,194070000000.0,,,,,,,,,,,,,,,,,,,
RELIANCE.NS,2024-12-31,,738460000000.0,348220000000.0,306080000000.0,185400000000.0,,,,,,,,,,,,,,,,,,,
RELIANCE.NS,2024-09-30,,657530000000.0,310540000000.0,261780000000.0,165630000000.0,,,,,,,,,,,,,,,,,,,
RELIANCE.NS,2024-06-30,,647300000000.0,291520000000.0,251690000000.0,151380000000.0,,,,,,,,,,,,,,,,,,,
RELIANCE.NS,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,
