Ticker,Date,Revenue,GrossProfit,EBITDA,OperatingIncome,NetIncome,EPS,TotalDebt,Cash,FCF,DebtToEquity,DebtToFCF,PE,PEG,PB,PS,PromoterHolding,InstitutionalHolding,PriceTargetHigh,PriceTargetLow,PriceTargetAvg,EPSEstimate,Buybacks,Dividends,Splits
HDFCBANK.NS,2025-06-30,,,,,162579100000.0,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,2025-03-31,,,,,153934600000.0,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,2024-12-31,,,,,176566100000.0,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,2024-09-30,,,,,173810500000.0,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,2024-06-30,,,,,164748500000.0,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,
